epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1596.95,0.90824,0.85934,1.12055,0.95463,0.98263,0.99013,0.68856,1.0826,0.89207,1.04034,0.000261533,0.000261533,0.000261533
43,1634.46,0.78916,2.016,0.93411,0.96645,0.98597,0.99135,0.65484,1.22036,0.90711,1.0933,0.000237805,0.000237805,0.000237805
44,1672.17,0.79219,0.84845,1.04644,0.97987,0.98889,0.99241,0.69078,1.09619,0.86849,1.04326,0.000214963,0.000214963,0.000214963
45,1710.17,0.78732,0.83566,1.03774,0.98066,0.98889,0.99305,0.70399,1.04942,0.85248,1.02801,0.00019307,0.00019307,0.00019307
46,1747.96,0.65174,1.89159,0.86081,0.98957,0.97707,0.99447,0.73749,0.97243,0.85062,1.00556,0.000172185,0.000172185,0.000172185
47,1785.65,0.75504,0.69419,1.00429,0.98326,0.97329,0.995,0.72855,0.99199,0.85344,1.0126,0.000152366,0.000152366,0.000152366
48,1822.12,0.67691,0.71344,0.99117,0.97681,0.97403,0.99384,0.69309,1.1007,0.8793,1.05036,0.000133667,0.000133667,0.000133667
49,1858.61,0.93767,0.75717,1.0856,0.97621,0.98706,0.99447,0.66295,1.19274,0.88877,1.08484,0.00011614,0.00011614,0.00011614
50,1894.92,0.74267,0.74006,1.02118,0.98648,0.98868,0.995,0.64882,1.25979,0.88824,1.1132,9.98323e-05,9.98323e-05,9.98323e-05
51,1931.13,0.81281,0.8445,1.09906,0.97993,0.99516,0.995,0.66703,1.18475,0.8666,1.08362,8.47887e-05,8.47887e-05,8.47887e-05
52,1968.07,0.83105,0.73121,1.02566,0.97582,0.99148,0.995,0.71606,1.02205,0.85338,1.02853,7.10504e-05,7.10504e-05,7.10504e-05
53,2004.97,0.72011,0.7283,0.976,0.97687,0.98731,0.99447,0.72412,0.98909,0.85119,1.01808,5.86552e-05,5.86552e-05,5.86552e-05
54,2042.38,0.68773,0.68949,0.97113,0.97471,0.99077,0.995,0.74812,0.9325,0.85095,0.99757,4.76371e-05,4.76371e-05,4.76371e-05
55,2078.99,0.61592,1.70304,0.85032,0.97733,0.99069,0.995,0.75146,0.91152,0.84539,0.99022,3.80262e-05,3.80262e-05,3.80262e-05
56,2115.63,0.80913,0.70791,1.01175,0.98409,0.98889,0.99447,0.75734,0.88604,0.84234,0.98057,2.98489e-05,2.98489e-05,2.98489e-05
